date,region,product,sales_channel,payment_method,sales_rep,quantity,unit_price,discount_rate,sales,profit
2024-02-29,North,Laptop,Retail,Bank Transfer,Farah,7,1100,0.2,6160.0,1528.47
2024-03-01,South,Mouse,Online,Cash,Chloe,6,25,0.1,135.0,57.75
2024-03-02,East,Phone,Online,Credit Card,Farah,7,800,0,5600,1674.12
2024-03-03,West,Monitor,Partner,PayPal,,10,180,0,1800,734.9
2024-03-04,,Laptop,Retail,Credit Card,David,3,1100,0,,912.38
2024-03-05,East,Tablet,Online,Bank Transfer,Chloe,2,550,0,1100,493.06
2024-03-06,South,Laptop,Partner,Credit Card,David,12,950,0,11400,2869.55
2024-03-07,North,Laptop,Online,PayPal,Farah,12,1100,0,13200,4738.45
2024-03-08,East,Laptop,Retail,PayPal,Chloe,12,950,0.2,9120.0,3945.94
2024-03-09,East,Keyboard,Wholesale,Bank Transfer,,6,65,0.15,331.5,144.89
2024-03-10,Central,Laptop,Partner,PayPal,Farah,9,1250,0,11250,4230.55
2024-03-11,Central,Phone,Partner,Bank Transfer,Ben,4,950,0.1,3420.0,1217.46
2024-03-12,North,Laptop,Retail,Credit Card,George,11,950,0.2,8360.0,2488.85
2024-03-13,West,Phone,Online,Cash,,11,950,0.05,9927.5,2303.54
2024-03-14,Central,Laptop,Partner,PayPal,Hannah,1,1100,0,,312.54
2024-03-15,East,Mouse,Partner,Credit Card,Ben,8,40,0.15,272.0,96.21
2024-03-16,North,Tablet,Online,PayPal,Farah,9,300,,2700,627.28
2024-03-17,North,Tablet,Online,,David,1,550,,495.0,143.5
2024-03-18,North,Phone,Partner,Bank Transfer,George,9,500,0.2,3600.0,962.65
2024-03-19,North,Tablet,Online,Credit Card,David,10,550,0.05,5225.0,2269.92
2024-03-20,South,Tablet,Retail,,Chloe,1,400,0.2,320.0,88.31
2024-03-21,Central,Keyboard,,Bank Transfer,Ben,3,40,0.05,114.0,37.79
2024-03-22,North,Phone,Partner,PayPal,Chloe,2,950,0.2,1520.0,510.07
2024-03-23,North,Monitor,Partner,Bank Transfer,Chloe,2,250,0.1,,166.11
2024-03-24,South,,Wholesale,Credit Card,Farah,6,100,0,600,162.56
2024-03-25,West,Headphones,Online,Cash,Emma,9,70,0,630,211.19
2024-03-26,East,,Online,PayPal,Emma,2,200,0.2,320.0,118.43
2024-03-27,West,Printer,Retail,Cash,Emma,2,250,0.1,450.0,119.32
2024-03-28,,Keyboard,Retail,Cash,George,2,65,0,130,32.25
2024-03-29,East,Printer,Online,Credit Card,Ben,3,180,0,540,164.13
2024-03-30,Central,Laptop,Online,Credit Card,Alice,25,1250,0.05,29687.5,9850.75
2024-03-31,South,Phone,Wholesale,PayPal,David,18,950,0.1,15390.0,5120.44
2024-04-01,West,Laptop,Partner,Bank Transfer,Hannah,30,1100,0,33000,11250.90
2024-04-02,North,Tablet,Retail,Credit Card,Alice,4,550,0.15,1870.0,-250.75
2024-04-03,East,Monitor,Online,Cash,George,6,350,0.05,1995.0,710.20
2024-04-04,Central,Printer,Partner,,Ben,8,180,0.1,1296.0,
2024-04-05,,Mouse,Online,PayPal,Chloe,9,40,0,360,96.45
2024-04-06,South,Laptop,Retail,Credit Card,Farah,2,1250,0.2,2000.0,-430.60
2024-04-07,West,Keyboard,Online,Bank Transfer,Emma,12,65,0.15,663.0,198.22
2024-04-08,North,Phone,Partner,Cash,,7,800,0.05,5320.0,1890.10
2024-04-09,East,Tablet,,Credit Card,David,5,400,0.2,1600.0,510.33
2024-04-10,Central,Laptop,Online,Bank Transfer,George,40,1250,0,50000,17500.00
2024-04-11,South,Monitor,Retail,PayPal,Hannah,,350,0.1,3150.0,870.25
2024-04-12,West,Headphones,Online,Credit Card,Alice,14,70,0.05,931.0,310.77
2024-04-13,North,Printer,Wholesale,Bank Transfer,Ben,10,250,0.15,2125.0,620.18
2024-04-14,East,Laptop,Online,Cash,Farah,1,1100,0.2,880.0,-120.50
2024-04-15,Central,Phone,Retail,Credit Card,Chloe,9,950,0.1,7695.0,2500.39
